DestinationID,Name,District,State,Category,BestTimeToVisit,PopularityScore
39,Gori Chen Peak,Tawang,Arunachal Pradesh,Adventure,May - September,8.1
40,Glow Lake,Tawang,Arunachal Pradesh,Nature,May - October,7.9
41,Parashuram Kund,Lohit,Arunachal Pradesh,Religious,November - March,8.3
42,Sangti Valley,West Kameng,Arunachal Pradesh,Nature,March - October,8
43,Kaziranga National Park,Golaghat,Assam,Wildlife,November - April,9.5
44,Kamakhya Temple,Guwahati,Assam,Religious,November - March,9
45,Majuli Island,Majuli,Assam,Cultural,October - March,8.8
46,Manas National Park,Baksa,Assam,Wildlife,November - April,8.5
47,Dibru-Saikhowa National Park,Tinsukia,Assam,Wildlife,November - April,8.2
48,Sivasagar,Sivasagar,Assam,Historical,October - March,7.9
49,Haflong,Dima Hasao,Assam,Hill Station,October - April,7.8
50,Chandubi Lake,Kamrup,Assam,Nature,November - March,7.5
51,Tezpur,Sonitpur,Assam,Heritage,October - April,7.7
52,Kakochang Waterfalls,Golaghat,Assam,Waterfall,June - September,7.9
53,Bogamati,Baksa,Assam,Nature,October - March,7.3
54,Pobitora Wildlife Sanctuary,Morigaon,Assam,Wildlife,November - April,8.3
55,Hajo,Kamrup,Assam,Religious,October - March,7.6
56,Umananda Island,Guwahati,Assam,Religious,October - March,8
57,Orang National Park,Darrang,Assam,Wildlife,November - April,8.1
58,Jatinga,Dima Hasao,Assam,Nature,September - October,7.8
59,Panimur Falls,Dima Hasao,Assam,Waterfall,June - September,7.7
60,Deepor Beel,Guwahati,Assam,Nature,November - March,7.4
61,Nameri National Park,Sonitpur,Assam,Wildlife,November - April,8.2
62,Saraighat Bridge,Guwahati,Assam,Historical,October - March,7.5
63,Bodh Gaya,Gaya,Bihar,Religious,October - March,9.5
64,Nalanda University,Nalanda,Bihar,Historical,October - March,9
65,Vikramshila University,Bhagalpur,Bihar,Historical,October - March,8.2
66,Rajgir,Nalanda,Bihar,Historical,October - March,8.5
67,Mahabodhi Temple,Gaya,Bihar,Religious,October - March,9.4
68,Pawapuri,Nalanda,Bihar,Religious,October - March,7.8
69,Valmiki National Park,West Champaran,Bihar,Wildlife,October - June,8.1
70,Patna Sahib Gurudwara,Patna,Bihar,Religious,October - March,8.3
71,Golghar,Patna,Bihar,Historical,October - March,8
72,Kesaria Stupa,East Champaran,Bihar,Historical,October - March,7.9
73,Barabar Caves,Jehanabad,Bihar,Historical,October - March,7.7
74,Kanwar Lake,Begusarai,Bihar,Nature,November - February,7.3
75,Maner Sharif,Patna,Bihar,Religious,October - March,7.5
76,Rohtas Fort,Rohtas,Bihar,Historical,October - March,8
77,Bhimbandh Wildlife Sanctuary,Munger,Bihar,Wildlife,October - June,7.6
78,Munger Fort,Munger,Bihar,Historical,October - March,7.4
79,Telhar Kund,Rohtas,Bihar,Waterfall,August - October,7.2
80,Ashokan Pillar,Vaishali,Bihar,Historical,October - March,7.8
81,Vikramshila Gangetic Dolphin Sanctuary,Bhagalpur,Bihar,Wildlife,October - March,8
82,Kakolat Waterfalls,Nawada,Bihar,Waterfall,August - October,7.7
83,Chitrakote Waterfalls,Bastar,Chhattisgarh,Waterfall,July - October,9
84,Barnawapara Wildlife Sanctuary,Mahasamund,Chhattisgarh,Wildlife,October - March,8.2
85,Kanger Valley National Park,Bastar,Chhattisgarh,Wildlife,October - March,8.5
86,Bastar Palace,Bastar,Chhattisgarh,Historical,October - March,7.9
87,Kailash Caves,Bastar,Chhattisgarh,Historical,October - March,7.7
88,Bhoramdeo Temple,Kawardha,Chhattisgarh,Religious,October - March,8
89,Tirathgarh Falls,Bastar,Chhattisgarh,Waterfall,July - October,8.7
90,Indravati National Park,Bijapur,Chhattisgarh,Wildlife,October - March,8.3
91,Sirpur Heritage Site,Mahasamund,Chhattisgarh,Historical,October - March,7.8
92,Danteshwari Temple,Dantewada,Chhattisgarh,Religious,October - March,8.2
93,Mahamaya Temple,Ratanpur,Chhattisgarh,Religious,October - March,7.5
94,Ramgarh Hill,Ambikapur,Chhattisgarh,Nature,October - March,7.3
95,Ratanpur Fort,Bilaspur,Chhattisgarh,Historical,October - March,7.6
96,Tamor Pingla Wildlife Sanctuary,Surajpur,Chhattisgarh,Wildlife,October - March,7.4
97,Mainpat,Surguja,Chhattisgarh,Hill Station,October - March,7.8
98,Red Fort,Central Delhi,Delhi,Historical,October - March,9.3
99,Qutub Minar,South Delhi,Delhi,Historical,October - March,9.2
100,India Gate,New Delhi,Delhi,Historical,October - March,9.4
101,Lotus Temple,South Delhi,Delhi,Religious,October - March,9
102,Akshardham Temple,East Delhi,Delhi,Religious,October - March,9.1
103,Humayun's Tomb,Central Delhi,Delhi,Historical,October - March,8.9
104,Jama Masjid,Central Delhi,Delhi,Religious,October - March,8.7
105,Rashtrapati Bhavan,New Delhi,Delhi,Historical,October - March,8.8
106,Chandni Chowk,Central Delhi,Delhi,Heritage,October - March,8.6
107,National Rail Museum,South Delhi,Delhi,Historical,October - March,8
108,Baga Beach,North Goa,Goa,Beach,October - March,9.3
109,Dudhsagar Waterfalls,South Goa,Goa,Waterfall,June - September,9
110,Basilica of Bom Jesus,North Goa,Goa,Religious,October - March,8.8
111,Fort Aguada,North Goa,Goa,Historical,October - March,8.7
112,Palolem Beach,South Goa,Goa,Beach,October - March,9.2
113,Chapora Fort,North Goa,Goa,Historical,October - March,8.3
114,Anjuna Beach,North Goa,Goa,Beach,October - March,9
115,Arvalem Caves,North Goa,Goa,Historical,October - March,7.8
116,Salim Ali Bird Sanctuary,North Goa,Goa,Wildlife,October - March,7.5
117,Colva Beach,South Goa,Goa,Beach,October - March,8.9
118,Gir National Park,Junagadh,Gujarat,Wildlife,December - March,9.4
119,Rann of Kutch,Kutch,Gujarat,Nature,November - February,9.3
120,Dwarkadhish Temple,Devbhoomi Dwarka,Gujarat,Religious,October - March,9
121,Somnath Temple,Gir Somnath,Gujarat,Religious,October - March,9.2
122,Lothal,Ahmedabad,Gujarat,Historical,October - March,8.5
123,Champaner-Pavagadh Archaeological Park,Panchmahal,Gujarat,Historical,October - March,8.7
124,Saputara Hill Station,Dang,Gujarat,Hill Station,October - June,8.3
125,Modhera Sun Temple,Mehsana,Gujarat,Religious,October - March,8.8
126,Sabarmati Ashram,Ahmedabad,Gujarat,Historical,October - March,8.9
127,Marine National Park,Jamnagar,Gujarat,Wildlife,November - March,8.4
128,Polo Forest,Sabarkantha,Gujarat,Nature,October - March,8
129,Mandvi Beach,Kutch,Gujarat,Beach,October - March,8.6
130,Girnar Hills,Junagadh,Gujarat,Religious,October - March,8.5
131,Velavadar Blackbuck National Park,Bhavnagar,Gujarat,Wildlife,November - March,8.3
132,Diu Fort,Diu,Daman and Diu,Historical,October - March,8.4
133,Wild Ass Sanctuary,Patan,Gujarat,Wildlife,December - March,8.7
134,Palitana Jain Temples,Bhavnagar,Gujarat,Religious,October - March,8.9
135,Adalaj Stepwell,Gandhinagar,Gujarat,Historical,October - March,8.5
136,Bhuj,Kutch,Gujarat,Heritage,October - March,8.3
137,Hathisingh Jain Temple,Ahmedabad,Gujarat,Religious,October - March,8.2
138,Surkhan Wildlife Sanctuary,Gurugram,Haryana,Wildlife,October - March,7.5
139,Kurukshetra,Kurukshetra,Haryana,Religious,October - March,8.5
140,Pinjore Gardens,Panchkula,Haryana,Heritage,October - March,8
141,Morni Hills,Panchkula,Haryana,Hill Station,October - March,7.8
142,Sultanpur National Park,Gurugram,Haryana,Wildlife,October - March,8.2
143,Brahma Sarovar,Kurukshetra,Haryana,Religious,October - March,8.3
144,Karna Lake,Karnal,Haryana,Nature,October - March,7.5
145,Yadavindra Gardens,Panchkula,Haryana,Heritage,October - March,7.7
146,Bhindawas Wildlife Sanctuary,Jhajjar,Haryana,Wildlife,October - March,7.4
147,Kalesar National Park,Yamunanagar,Haryana,Wildlife,October - March,7.9
148,Rock Garden,Panchkula,Haryana,Heritage,October - March,8.1
149,Shimla,Shimla,Himachal Pradesh,Hill Station,March - June,9.5
150,Manali,Kullu,Himachal Pradesh,Hill Station,April - June,9.4
151,Dalhousie,Chamba,Himachal Pradesh,Hill Station,March - June,9
152,Spiti Valley,Lahaul and Spiti,Himachal Pradesh,Adventure,May - October,9.2
153,Dharamshala,Kangra,Himachal Pradesh,Hill Station,March - June,9.1
154,McLeod Ganj,Kangra,Himachal Pradesh,Cultural,March - June,9
155,Kullu Valley,Kullu,Himachal Pradesh,Nature,March - June,8.7
156,Chail,Solan,Himachal Pradesh,Hill Station,March - June,8.5
157,Kufri,Shimla,Himachal Pradesh,Hill Station,December - February,8.6
158,Tirthan Valley,Kullu,Himachal Pradesh,Nature,March - June,8.9
159,Narkanda,Shimla,Himachal Pradesh,Hill Station,December - February,8.2
160,Bir Billing,Kangra,Himachal Pradesh,Adventure,March - June,8.7
161,Kalpa,Kinnaur,Himachal Pradesh,Hill Station,April - June,8.4
162,Sangla Valley,Kinnaur,Himachal Pradesh,Nature,April - June,8.6
163,Rohtang Pass,Kullu,Himachal Pradesh,Mountain,May - October,9
164,Malana,Kullu,Himachal Pradesh,Cultural,April - June,8.3
165,Key Monastery,Lahaul and Spiti,Himachal Pradesh,Religious,May - October,8.8
166,Parvati Valley,Kullu,Himachal Pradesh,Nature,April - June,8.5
167,Prashar Lake,Mandi,Himachal Pradesh,Nature,April - June,8.4
168,Jibhi,Kullu,Himachal Pradesh,Hill Station,March - June,8.1
169,Sarahan,Shimla,Himachal Pradesh,Religious,April - June,8
170,Kinnaur,Kinnaur,Himachal Pradesh,Adventure,April - June,8.7
171,Khajjiar,Chamba,Himachal Pradesh,Hill Station,March - June,8.9
172,Solang Valley,Kullu,Himachal Pradesh,Adventure,December - February,8.8
173,Betla National Park,Latehar,Jharkhand,Wildlife,October - March,8.2
174,Dassam Falls,Ranchi,Jharkhand,Waterfall,August - October,8.5
175,Netarhat,Latehar,Jharkhand,Hill Station,October - March,8
176,Hundru Falls,Ranchi,Jharkhand,Waterfall,August - October,8.4
177,Patratu Valley,Ramgarh,Jharkhand,Nature,October - March,7.9
178,Parasnath Hill,Giridih,Jharkhand,Religious,October - March,8.1
179,Jonha Falls,Ranchi,Jharkhand,Waterfall,August - October,8
180,Baba Baidyanath Temple,Deoghar,Jharkhand,Religious,July - August,8.7
181,Dimna Lake,East Singhbhum,Jharkhand,Nature,October - March,7.8
182,Dalma Wildlife Sanctuary,East Singhbhum,Jharkhand,Wildlife,October - March,7.9
183,Tagore Hill,Ranchi,Jharkhand,Heritage,October - March,7.5
184,Ranchi Lake,Ranchi,Jharkhand,Nature,October - March,7.4
185,Hazaribagh National Park,Hazaribagh,Jharkhand,Wildlife,October - March,7.7
186,Hampi,Vijayanagara,Karnataka,Historical,October - March,9.4
187,Mysore Palace,Mysore,Karnataka,Historical,October - March,9.3
188,Coorg,Kodagu,Karnataka,Hill Station,October - March,9.2
189,Chikmagalur,Chikmagalur,Karnataka,Hill Station,October - March,9
190,Jog Falls,Shimoga,Karnataka,Waterfall,August - November,9.1
191,Gokarna Beach,Uttara Kannada,Karnataka,Beach,October - March,8.9
192,Badami Caves,Bagalkot,Karnataka,Historical,October - March,8.7
193,Bannerghatta National Park,Bangalore,Karnataka,Wildlife,October - March,8.5
194,Belur and Halebidu,Hassan,Karnataka,Historical,October - March,8.8
195,Kudremukh National Park,Chikmagalur,Karnataka,Wildlife,October - March,8.6
196,Nandi Hills,Bangalore Rural,Karnataka,Hill Station,October - March,8.4
197,Udupi,Udupi,Karnataka,Religious,October - March,8.3
198,Murudeshwar Temple,Uttara Kannada,Karnataka,Religious,October - March,8.7
199,Shivanasamudra Falls,Mandya,Karnataka,Waterfall,August - November,8.5
200,Agumbe,Shimoga,Karnataka,Nature,October - March,8.2
201,Karwar,Uttara Kannada,Karnataka,Beach,October - March,8.1
202,Ranganathittu Bird Sanctuary,Mandya,Karnataka,Wildlife,November - February,8.4
203,Shravanabelagola,Hassan,Karnataka,Religious,October - March,8.6
204,Sakleshpur,Hassan,Karnataka,Hill Station,October - March,8.3
205,Aihole,Bagalkot,Karnataka,Historical,October - March,8.2
206,Gol Gumbaz,Bijapur,Karnataka,Historical,October - March,8.5
207,Bhimgad Wildlife Sanctuary,Belgaum,Karnataka,Wildlife,October - March,7.9
208,Hesaraghatta Lake,Bangalore Rural,Karnataka,Nature,October - March,7.7
209,Srirangapatna,Mandya,Karnataka,Historical,October - March,8.4
210,Gommateshwara Statue,Hassan,Karnataka,Religious,October - March,8.5
211,Manjarabad Fort,Hassan,Karnataka,Historical,October - March,7.8
212,Brahmagiri Hills,Kodagu,Karnataka,Nature,October - March,8
213,Maravanthe Beach,Udupi,Karnataka,Beach,October - March,8.4
214,Dandeli Wildlife Sanctuary,Uttara Kannada,Karnataka,Wildlife,October - March,8.7
215,Anshi National Park,Uttara Kannada,Karnataka,Wildlife,October - March,8.3
216,Munnar,Idukki,Kerala,Hill Station,October - March,9.5
217,Alleppey Backwaters,Alappuzha,Kerala,Nature,October - March,9.4
218,Kovalam Beach,Thiruvananthapuram,Kerala,Beach,October - March,9
219,Wayanad,Wayanad,Kerala,Hill Station,October - March,9.2
220,Varkala Beach,Thiruvananthapuram,Kerala,Beach,October - March,8.9
221,Thekkady,Idukki,Kerala,Wildlife,October - March,9.1
222,Athirappilly Waterfalls,Thrissur,Kerala,Waterfall,September - January,9
223,Kumarakom Bird Sanctuary,Kottayam,Kerala,Wildlife,November - February,8.8
224,Ponmudi Hills,Thiruvananthapuram,Kerala,Hill Station,October - March,8.5
225,Guruvayur Temple,Thrissur,Kerala,Religious,October - March,8.9
226,Bekal Fort,Kasaragod,Kerala,Historical,October - March,8.7
227,Periyar Wildlife Sanctuary,Idukki,Kerala,Wildlife,October - March,9
228,Poovar Island,Thiruvananthapuram,Kerala,Nature,October - March,8.6
229,Vagamon,Idukki,Kerala,Hill Station,October - March,8.8
230,Meenmutty Waterfalls,Wayanad,Kerala,Waterfall,September - January,8.7
231,Silent Valley National Park,Palakkad,Kerala,Wildlife,December - March,8.9
232,Thusharagiri Waterfalls,Kozhikode,Kerala,Waterfall,September - January,8.5
233,Cherai Beach,Ernakulam,Kerala,Beach,October - March,8.6
234,Thenmala Ecotourism,Kollam,Kerala,Nature,October - March,8.3
235,Muzhappilangad Drive-in Beach,Kannur,Kerala,Beach,October - March,8.7
236,Thattekad Bird Sanctuary,Ernakulam,Kerala,Wildlife,November - February,8.4
237,Kappad Beach,Kozhikode,Kerala,Beach,October - March,8.5
238,Padmanabhapuram Palace,Kanyakumari,Tamil Nadu,Historical,October - March,8.8
239,Chinnar Wildlife Sanctuary,Idukki,Kerala,Wildlife,October - March,8.4
240,Edakkal Caves,Wayanad,Kerala,Historical,October - March,8.6
241,Marari Beach,Alappuzha,Kerala,Beach,October - March,8.5
242,Valparai (Kerala side),Idukki,Kerala,Hill Station,October - March,8.2
243,Peppara Wildlife Sanctuary,Thiruvananthapuram,Kerala,Wildlife,October - March,8.1
244,Khajuraho Temples,Chhatarpur,Madhya Pradesh,Historical,October - March,9.3
245,Kanha National Park,Mandla,Madhya Pradesh,Wildlife,October - June,9.2
246,Sanchi Stupa,Raisen,Madhya Pradesh,Historical,October - March,9
247,Ujjain Mahakaleshwar Temple,Ujjain,Madhya Pradesh,Religious,October - March,9.1
248,Bhimbetka Rock Shelters,Raisen,Madhya Pradesh,Historical,October - March,8.9
249,Orchha Fort,Niwari,Madhya Pradesh,Historical,October - March,8.8
250,Pachmarhi,Hoshangabad,Madhya Pradesh,Hill Station,October - March,8.7
251,Panna National Park,Panna,Madhya Pradesh,Wildlife,October - June,8.8
252,Gwalior Fort,Gwalior,Madhya Pradesh,Historical,October - March,8.9
253,Mandu,Dhar,Madhya Pradesh,Historical,October - March,8.6
254,Omkareshwar Temple,Khandwa,Madhya Pradesh,Religious,October - March,8.7
255,Maheshwar,Khargone,Madhya Pradesh,Heritage,October - March,8.5
256,Raneh Falls,Chhatarpur,Madhya Pradesh,Waterfall,August - October,8.4
257,Chitrakoot,Satna,Madhya Pradesh,Religious,October - March,8.5
258,Pench National Park,Seoni,Madhya Pradesh,Wildlife,October - June,8.8
259,Satpura National Park,Hoshangabad,Madhya Pradesh,Wildlife,October - June,8.7
260,Bhojpur Temple,Raisen,Madhya Pradesh,Religious,October - March,8.3
261,Jata Shankar Cave,Pachmarhi,Madhya Pradesh,Religious,October - March,8.1
262,Kuno National Park,Sheopur,Madhya Pradesh,Wildlife,October - June,8.6
263,Burhanpur,Burhanpur,Madhya Pradesh,Historical,October - March,8
264,Rajwada Palace,Indore,Madhya Pradesh,Historical,October - March,8.5
265,Bhopal Upper Lake,Bhopal,Madhya Pradesh,Nature,October - March,8.3
266,Hanuwantiya Island,Khandwa,Madhya Pradesh,Nature,October - March,8.2
267,Sonagiri Jain Temples,Datia,Madhya Pradesh,Religious,October - March,8.4
268,Bandhavgarh National Park,Umaria,Madhya Pradesh,Wildlife,October - June,9.1
269,Maihar Devi Temple,Satna,Madhya Pradesh,Religious,October - March,8.3
270,Mandleshwar,Khargone,Madhya Pradesh,Religious,October - March,8
271,Jabalpur Marble Rocks,Jabalpur,Madhya Pradesh,Nature,October - March,8.7
272,Udayagiri Caves,Vidisha,Madhya Pradesh,Historical,October - March,8.2
273,Gateway of India,Mumbai,Maharashtra,Historical,October - March,9.5
274,Elephanta Caves,Mumbai,Maharashtra,Historical,October - March,9
275,Ajanta Caves,Aurangabad,Maharashtra,Historical,October - March,9.4
276,Ellora Caves,Aurangabad,Maharashtra,Historical,October - March,9.3
277,Marine Drive,Mumbai,Maharashtra,Heritage,October - March,9.2
278,Lonavala,Pune,Maharashtra,Hill Station,June - February,8.9
279,Khandala,Pune,Maharashtra,Hill Station,June - February,8.7
280,Mahabaleshwar,Satara,Maharashtra,Hill Station,October - June,9.1
281,Panchgani,Satara,Maharashtra,Hill Station,October - June,8.8
282,Matheran,Raigad,Maharashtra,Hill Station,October - June,8.9
283,Tadoba National Park,Chandrapur,Maharashtra,Wildlife,October - June,9
284,Raigad Fort,Raigad,Maharashtra,Historical,October - March,8.7
285,Harihareshwar Beach,Raigad,Maharashtra,Beach,October - March,8.5
286,Alibaug,Raigad,Maharashtra,Beach,October - March,8.8
287,Bhandardara,Ahmednagar,Maharashtra,Hill Station,October - March,8.4
288,Kaas Plateau,Satara,Maharashtra,Nature,September - October,8.9
289,Lonar Crater Lake,Buldhana,Maharashtra,Nature,October - March,8.6
290,Chandrapur,Chandrapur,Maharashtra,Heritage,October - March,8
291,Malvan,Sindhudurg,Maharashtra,Beach,October - March,8.5
292,Sindhudurg Fort,Sindhudurg,Maharashtra,Historical,October - March,8.7
293,Nashik Vineyards,Nashik,Maharashtra,Heritage,October - March,8.6
294,Trimbakeshwar Temple,Nashik,Maharashtra,Religious,October - March,8.8
295,Bhimashankar Wildlife Sanctuary,Pune,Maharashtra,Wildlife,October - March,8.4
296,Devkund Waterfalls,Raigad,Maharashtra,Waterfall,August - February,8.5
297,Pratapgad Fort,Satara,Maharashtra,Historical,October - March,8.6
298,Purandar Fort,Pune,Maharashtra,Historical,October - March,8.3
299,Torna Fort,Pune,Maharashtra,Historical,October - March,8.4
300,Tamhini Ghat,Pune,Maharashtra,Nature,July - February,8.6
301,Kalsubai Peak,Ahmednagar,Maharashtra,Adventure,October - March,8
302,Kangla Fort,Imphal East,Manipur,Historical,October-March,7.9
303,Keibul Lamjao National Park,Bishnupur,Manipur,Wildlife,November-February,8.5
304,Thalon Cave,Tamenglong,Manipur,Nature,October-March,7.2
305,Dzukou Valley,Senapati,Manipur,Mountain,May-August,9.1
306,Singda Dam,Imphal West,Manipur,Dam,October-March,6.8
307,Sirohi National Park,Ukhrul,Manipur,Wildlife,November-February,7.5
308,Khonghampat Orchidarium,Imphal West,Manipur,Nature,March-May,7
309,Imphal War Cemetery,Imphal West,Manipur,Historical,October-March,7.6
310,Leimaram Waterfalls,Bishnupur,Manipur,Waterfall,June-September,8
311,Living Root Bridges,East Khasi Hills,Meghalaya,Nature,November-March,9.4
312,Mawsynram,East Khasi Hills,Meghalaya,Nature,June-September,8.8
313,Nohkalikai Falls,East Khasi Hills,Meghalaya,Waterfall,June-September,9.2
314,Laitlum Canyon,East Khasi Hills,Meghalaya,Nature,October-March,8.5
315,Balpakram National Park,South Garo Hills,Meghalaya,Wildlife,October-March,8.2
316,Elephant Falls,East Khasi Hills,Meghalaya,Waterfall,June-September,8.7
317,Krem Liat Prah Caves,East Jaintia Hills,Meghalaya,Historical,November-February,7.9
318,Mawphlang Sacred Grove,East Khasi Hills,Meghalaya,Cultural,October-March,8.3
319,Jaintia Hills,West Jaintia Hills,Meghalaya,Hill Station,October-March,8.1
320,Siju Caves,South Garo Hills,Meghalaya,Historical,November-February,7.8
321,Shillong Peak,East Khasi Hills,Meghalaya,Nature,October-March,8.5
322,Sweet Falls,East Khasi Hills,Meghalaya,Waterfall,June-September,8.4
323,Phawngpui Peak,Lawngtlai,Mizoram,Mountain,October-March,8.6
324,Vantawng Falls,Serchhip,Mizoram,Waterfall,June-September,8.5
325,Hmuifang Hill,Aizawl,Mizoram,Hill Station,October-March,7.9
326,Dampa Tiger Reserve,Mamit,Mizoram,Wildlife,November-February,8
327,Reiek Tlang,Mamit,Mizoram,Mountain,October-March,8.3
328,Lengteng Wildlife Sanctuary,Champhai,Mizoram,Wildlife,November-February,7.7
329,Kohima War Cemetery,Kohima,Nagaland,Historical,October-March,8.4
330,Hornbill Festival Grounds,Kohima,Nagaland,Cultural,December,9.5
331,Japfu Peak,Kohima,Nagaland,Mountain,October-March,8.2
332,Tuophema Village,Kohima,Nagaland,Cultural,October-March,7.9
333,Khonoma Village,Kohima,Nagaland,Cultural,October-March,8.1
334,Ntangki National Park,Peren,Nagaland,Wildlife,November-February,7.8
335,Triple Falls,Sechu Zubza,Nagaland,Waterfall,June-September,8
336,Longwa Village,Mon,Nagaland,Cultural,October-March,8.3
337,Konark Sun Temple,Puri,Odisha,Religious,October-March,9.4
338,Jagannath Temple,Puri,Odisha,Religious,November-February,9.6
339,Bhitarkanika National Park,Kendrapara,Odisha,Wildlife,November-February,8.8
340,Simlipal National Park,Mayurbhanj,Odisha,Wildlife,November-February,8.7
341,Lingaraj Temple,Bhubaneswar,Odisha,Religious,October-March,8.6
342,Hirakud Dam,Sambalpur,Odisha,Dam,October-March,8.2
343,Udayagiri and Khandagiri Caves,Bhubaneswar,Odisha,Historical,October-March,8.5
344,Gopalpur Beach,Ganjam,Odisha,Beach,October-March,8.3
345,Satkosia Gorge,Angul,Odisha,Wildlife,November-February,8.1
346,Chandipur Beach,Balasore,Odisha,Beach,October-March,8.7
347,Barehipani Waterfalls,Mayurbhanj,Odisha,Waterfall,July-October,8.6
348,Duduma Waterfalls,Koraput,Odisha,Waterfall,July-October,8.5
349,Barabati Fort,Cuttack,Odisha,Historical,October-March,7.9
350,Daringbadi,Kandhamal,Odisha,Hill Station,October-March,8.4
351,Mukteshwar Temple,Cuttack,Odisha,Religious,October-March,7.8
352,Nandankanan Zoological Park,Bhubaneswar,Odisha,Wildlife,October-March,8.8
353,Taptapani Hot Springs,Ganjam,Odisha,Nature,October-March,7.6
354,Balukhand-Konark Wildlife Sanctuary,Puri,Odisha,Wildlife,November-February,7.9
355,Khandadhar Waterfall,Sundargarh,Odisha,Waterfall,July-October,8.2
356,Jirang Monastery,Gajapati,Odisha,Religious,October-March,7.5
357,Taratarini Temple,Ganjam,Odisha,Religious,October-March,7.8
358,Tikarpada Wildlife Sanctuary,Angul,Odisha,Wildlife,November-February,7.7
359,Budhakhol,Sambalpur,Odisha,Nature,October-March,7.3
360,Harishankar Temple,Balangir,Odisha,Religious,October-March,7.7
361,Golden Temple,Amritsar,Punjab,Religious,October-March,9.7
362,Wagah Border,Amritsar,Punjab,Cultural,October-March,9.5
363,Jallianwala Bagh,Amritsar,Punjab,Historical,October-March,9.1
364,Anandpur Sahib,Rupnagar,Punjab,Religious,October-March,8.7
365,Sheesh Mahal,Patiala,Punjab,Historical,October-March,8.4
366,Harike Wetland,Tarn Taran,Punjab,Wildlife,November-February,8.2
367,Qila Mubarak,Patiala,Punjab,Historical,October-March,8.3
368,Ranjit Sagar Dam,Pathankot,Punjab,Dam,October-March,8
369,Bathinda Fort,Bathinda,Punjab,Historical,October-March,8.1
370,Muktsar,Sri Muktsar Sahib,Punjab,Historical,October-March,7.6
371,Chhatbir Zoo,Mohali,Punjab,Wildlife,October-March,8.4
372,Doraha Sarai,Ludhiana,Punjab,Historical,October-March,7.5
373,Gurdwara Fatehgarh Sahib,Fatehgarh Sahib,Punjab,Religious,October-March,8.3
374,Hawa Mahal,Jaipur,Rajasthan,Historical,October-March,9.2
